id	name	release_year
9	Deep Gold 3D	2011
98	The Man in the Silo	2016
648	9-Jun	2018
361	Glenn, the Flying Robot	2010
435	The Waiter	2010
284	Rabbit Hole	2010
115	Joe Dick	2017
647	The Devil's Flower	2010
26	The Last Airbender	2010
119	Freaky Deaky	2012
680	Silent Hill: Revelation	2012
524	Arthur 3: The War of the Two Worlds	2010
489	White Knuckles	2010
200	Salt	2010
125	Source Code	2011
480	Black Swan	2010
605	Green Zone	2010
531	The Amazing Spider-Man	2012
523	Coffee Sex You	2014
149	The Killer Inside Me	2010
576	Robin Hood	2010
206	Reach Me	2014
198	Nine Dead	2010
397	Heart of Now	2010
374	Let Me Survive	2013
303	Beautiful Darling	2010
527	Private Security Officer: Los Angeles	2010
158	Truth in Numbers? Everything, According to Wikipedia	2010
344	Avenge	2014
235	A Monster in Paris	2011
484	Devour	2011
301	The Trouble with Cali	2012
388	The House of Sun	2010
595	Made in Romania	2010
659	Feast of the Assumption: BTK and the Otero Family Murders	2010
551	The Sorcerer's Apprentice	2010
603	The Fighter	2010
653	Pushin' Up Daisies	2010
233	Have You Heard from Johannesburg: Hell of a Job	2010
102	Have You Heard from Johannesburg: Road to Resistance	2010
81	L'imbroglio nel lenzuolo	2010
275	The Conspirator	2010
707	Little Witch on a Broomstick	2011
515	Strange Frame: Love & Sax	2012
10	White Wall	2010
188	Hugo	2011
586	Little Fockers	2010
689	The Chosen One	2010
330	The Reason	2010
116	Back Roads	2018
339	Have You Heard from Johannesburg: Fair Play	2010
107	Have You Heard from Johannesburg: The Bottom Line	2010
58	Lives and Deaths of the Poets	2011
679	Headhunter: The Assessment Weekend	2010
528	Justice League	2017
578	Black Limousine	2010
66	Hitchcock	2012
222	Sinatra Club	2010
3	Boyle Heights	2010
79	Chooriyan	2015
30	Fair Game	2010
334	Sucker Punch	2011
234	Have You Heard from Johannesburg: Free at Last	2010
128	Lottery Ticket	2010
511	Jaane Bhi Do Yaaro	2019
626	The Chronicles of Narnia: The Voyage of the Dawn Treader	2010
415	Four	2012
289	Heredity	2010
383	Funkytown	2011
559	The Unwanted	2013
421	The Adventures of Tintin	2011
716	You're Nobody 'til Somebody Kills You	2012
502	El Padrino II: Border Intrusion	2011
255	A Dance for Grace	2010
474	Multiple Sarcasms	2010
31	Machete	2010
424	The Magic Crystal	2011
510	A Flat	2010
39	The Gainesville Ripper	2010
210	Dear John	2010
607	Detention	2010
646	The Green Hornet	2011
129	The Significant Other	2012
360	Hanna	2011
692	The Wolf of Wall Street	2013
597	Adventure Scouts	2010
244	The Courier	2012
170	The Unforgiven	2011
672	Pelé: Birth of a Legend	2016
345	The Extendables	2014
666	Legend of the Red Reaper	2013
44	The Slimbones	2014
12	Bibliothèque Pascal	2010
305	The Experiment	2010
589	Looking for the Lost Tango	2010
585	Two Knives	2011
165	Straw Dogs	2011
706	Megamind	2010
471	The Young Messiah	2016
430	If You Only Knew	2011
190	Call of Life	2010
62	Last Breath	2010
457	The Iron Lady	2011
663	Colombian Interviews	2011
24	Opal	2010
464	The Steamroom	2010
196	Return of the Atom	2015
76	Love Sick Diaries	2010
407	Knight and Day	2010
476	Dylan Dog: Dead of Night	2010
237	Alice in Wonderland	2010
192	Child 44	2015
253	Bad Dog and Superhero	2014
441	Holy Wars	2010
279	Felony Murder	2019
557	The Sisterhood of Night	2014
130	The Cursed	2010
370	Pax	2010
579	Prime of Your Life	2010
677	Splintered	2010
420	The Runaways	2010
448	The Tortured	2010
533	Heart Like a Hand Grenade	2015
569	Our Brand Is Crisis	2015
52	Jeffie Was Here	2010
695	Deal	2010
264	Selma	2014
432	Centurion	2010
643	Patagonia	2010
100	The Method	2017
584	Certified Copy	2010
174	Takedowns and Falls	2010
92	Babies	2010
678	Odd Brodsky	2014
604	Deer Season	2015
346	Rising Star	2010
622	The Way Back	2010
312	Where's My Stuff?	2011
269	Kingshighway	2010
90	Programming the Nation?	2011
41	Argo	2012
199	Session	2011
340	The People I've Slept With	2012
260	Gunned Down	2017
425	Gemini Man	2019
138	The Pardon	2013
147	Dead Americans	2010
366	Kill Speed	2010
169	Wall Street: Money Never Sleeps	2010
668	Tied in Blood	2012
410	Asylum Blackout	2011
599	The Magnificent Eleven	2013
539	Secretariat	2010
228	Krrish 3	2013
401	Poltergeist	2015
46	Tied to a Chair	2011
416	Beautiful Girl	2014
163	The Warrior's Way	2010
27	Inseparable	2011
632	The Descendants	2011
613	Bad Meat	2011
276	Somewhere Tonight	2011
362	Iron Sky	2012
418	Cold Skin	2017
372	The Eagle	2011
249	Suspiria	2018
215	The Photon Effect	2010
491	Women's Studies	2010
392	Cody the Robosapien	2013
315	Everyday	2012
349	The Book of Eli	2010
447	The King of Fighters	2010
38	Legion	2010
342	The Story of Luke	2012
176	The Bounty Hunter	2010
4	Manipulation	2011
171	Let the Game Begin	2010
74	The Nutcracker in 3D	2010
386	Just Inès	2010
80	The Legend of Hercules	2014
14	Not Another B Movie	2010
367	For the Good of Others	2010
368	Silver Linings Playbook	2012
619	Wasteland	2011
221	You and I	2011
363	Ghost Hoax	2010
181	Unfinished Song	2012
113	Aaj Kal	2010
558	Camp Hell	2010
669	Caris' Peace	2011
123	Parental Guidance	2012
112	Beyond the Barbed Wire: An Artist View of the Holocaust	2010
33	Girl, Adopted	2013
122	Howl	2010
564	Pablo	2012
545	Chasing Happiness	2012
365	The Singularity Is Near	2010
364	Havana, Habana	2017
583	The Portal	2010
427	Ivory	2010
507	Lost Everything	2010
227	Goosebumps	2015
216	Repo Men	2010
310	The Big Year	2011
22	Dreams Awake	2011
2	One Lucky Elephant	2010
261	House Broken	2010
256	The Best Things in the World	2010
84	Life as We Know It	2010
78	The Dead Matter	2010
23	Down and Distance	2010
702	Sophomore	2012
189	Four Stories of St. Julian	2010
193	Transit	2012
299	The Legend of Awesomest Maximus	2011
37	Spud	2010
63	Até Onde?	2011
103	The Rogue	2019
29	This Bitter Earth	2012
446	Small Town Saturday Night	2010
73	Bare Knuckles	2010
382	The Evolution of Dad	2010
449	Je ne vous oublierai jamais	2010
682	Boyhood	2014
487	Costa Rica 3D	2019
417	The Ascension	2011
220	The Vampires of Zanzibar	2010
83	For Christ's Sake	2010
251	Water for Elephants	2011
333	Adult World	2013
596	Game of Assassins	2013
159	Monte Carlo	2011
252	Footloose	2011
151	Cavaliers seuls	2010
85	Sunburnt Angels	2011
530	House of Good and Evil	2013
272	Midnight Son	2011
512	The Two Deaths of Quincas Wateryell	2010
302	Habana Eva	2010
1	Good Intentions	2010
356	Elvis & Madonna	2010
616	The Dead Sleep	2010
347	The Amazing Adventures of the Living Corpse	2012
54	Blood River	2010
625	Ghost Rider: Spirit of Vengeance	2011
501	Jelly	2010
452	From the Midst of Pain	2010
218	Winchester	2018
499	Messages Deleted	2010
277	Buffalo Girls	2012
705	Subway Busker	2010
671	The Reverend	2011
655	See You in September	2010
547	Troubadours	2010
96	Skyfall	2012
574	Beyond the Grave	2010
204	Jonah Hex	2010
7	The Dark Party	2013
461	The Beautiful and Damned	2010
180	Dark Shadows	2012
197	Krews	2010
259	Psychosomatika	2010
518	Elimination	2010
598	Frances: A Mother Divine	2010
429	Hauntsville	2016
691	Hysteria	2010
42	The Girl from the Naked Eye	2012
399	Beautiful Noise	2014
454	Happiness Runs	2010
89	10 Years Later	2010
504	Jens Jensen: Harmonious World	2010
47	Jerry Cotton	2010
